,compliance_terms,term_lemmas,counter,row_indexer,min_published,max_published
0,accounting,account,2,"[20, 32]",2024-05-01,2024-05-30
1,bidding,bid,2,"[39, 46]",2024-05-01,2024-05-30
2,rigging,rig,2,"[39, 46]",2024-05-01,2024-05-30
3,bribery,bribery,4,"[13, 28, 32, 59]",2024-05-01,2024-05-30
4,collusion,collusion,1,[43],2024-05-01,2024-05-30
5,companies,company,17,"[9, 16, 18, 19, 22, 24, 25, 30, 32, 36, 38, 46, 51, 57, 61, 64, 68]",2024-05-01,2024-05-30
6,company,company,17,"[9, 16, 18, 19, 22, 24, 25, 30, 32, 36, 38, 46, 51, 57, 61, 64, 68]",2024-05-01,2024-05-30
7,corporate,corporate,2,"[19, 65]",2024-05-01,2024-05-30
8,counterfeit,counterfeit,1,[63],2024-05-01,2024-05-30
9,counterfeiting,counterfeit,1,[63],2024-05-01,2024-05-30
10,financial,financial,7,"[0, 5, 13, 14, 19, 38, 57]",2024-05-01,2024-05-30
11,fraud,fraud,23,"[0, 1, 2, 4, 9, 10, 11, 15, 19, 20, 21, 22, 23, 34, 37, 39, 40, 41, 42, 45, 50, 60, 62]",2024-05-01,2024-05-30
12,fraudulently,fraudulently,4,"[22, 28, 29, 37]",2024-05-01,2024-05-30
13,kickbacks,kickback,3,"[5, 9, 28]",2024-05-01,2024-05-30
14,racketeering,racketeering,2,"[14, 44]",2024-05-01,2024-05-30
15,scam,scam,2,"[30, 40]",2024-05-01,2024-05-30
16,scheme,scheme,31,"[0, 1, 2, 3, 10, 13, 15, 20, 22, 23, 27, 28, 29, 30, 32, 34, 37, 39, 40, 41, 42, 49, 50, 51, 59, 60, 63, 64, 66, 67, 70]",2024-05-01,2024-05-30
17,skimming,skim,1,[44],2024-05-01,2024-05-30
18,theft,theft,2,"[1, 28]",2024-05-01,2024-05-30
